text,category
"My employer hasn't paid my salary for three months despite multiple reminders",labour_law
"I was fired from my job without any valid reason or notice",labour_law
"My boss is harassing me at work and creating a hostile environment",labour_law
"I work 12 hours a day but only get paid for 8 hours",labour_law
"My company refuses to pay overtime despite working extra hours",labour_law
"I was denied maternity leave by my employer",labour_law
"My workplace doesn't provide proper safety equipment",labour_law
"I was discriminated against based on my age at work",labour_law
"My employer deducted money from my salary without explanation",labour_law
"I was forced to work on holidays without extra pay",labour_law
"My landlord won't return my security deposit after I moved out",property_law
"The landlord entered my apartment without permission",property_law
"My neighbor's construction is damaging my property",property_law
"I received an eviction notice without proper cause",property_law
"The rental agreement has unfair clauses that weren't explained",property_law
"My landlord refuses to fix the leaking roof in my apartment",property_law
"The property I bought has boundary disputes with neighbors",property_law
"I was overcharged for maintenance fees in my apartment complex",property_law
"My landlord changed the locks while I was away",property_law
"The apartment I rented has serious electrical problems",property_law
"Someone hacked into my online banking account and stole money",cyber_crime
"I received a phishing email that stole my personal information",cyber_crime
"My social media account was hacked and used to post inappropriate content",cyber_crime
"Online fraud through fake investment schemes",cyber_crime
"Someone is cyberstalking me through various online platforms",cyber_crime
"My credit card information was stolen from an online store",cyber_crime
"I was scammed through a fake job posting online",cyber_crime
"Someone impersonated me online and damaged my reputation",cyber_crime
"My computer was infected with ransomware demanding payment",cyber_crime
"Online harassment through anonymous messages and posts",cyber_crime
"My husband physically assaulted me during an argument",criminal_law
"I was robbed at gunpoint while walking home",criminal_law
"Someone broke into my house and stole valuable items",criminal_law
"I witnessed a hit and run accident but the driver fled",criminal_law
"My neighbor threatened me with violence over a property dispute",criminal_law
"I was falsely accused of shoplifting at a store",criminal_law
"Domestic violence incident involving physical abuse",criminal_law
"Someone vandalized my car in the parking lot",criminal_law
"I was assaulted by a stranger on the street",criminal_law
"Burglary attempt at my residence",criminal_law
"The product I bought online was completely different from advertised",consumer_law
"I purchased a defective electronic device that stopped working after a week",consumer_law
"The company refuses to refund my money for a faulty product",consumer_law
"I was charged twice for the same online purchase",consumer_law
"The warranty on my appliance expired before the product failed",consumer_law
"I received damaged goods in my online order",consumer_law
"The store refused to accept returns without receipt",consumer_law
"I was sold counterfeit products as genuine",consumer_law
"The service provider didn't deliver what was promised in the contract",consumer_law
"I was overcharged for services I didn't receive",consumer_law
"My professor discriminated against me based on my religion",education_law
"The college refused to provide accommodations for my disability",education_law
"I was expelled from university without proper investigation",education_law
"My school is not following the curriculum standards",education_law
"I was denied admission due to bias in the selection process",education_law
"The educational institution charged excessive fees without transparency",education_law
"My teacher gave me unfair grades without justification",education_law
"The school failed to protect me from bullying by other students",education_law
"I was denied scholarship due to discriminatory practices",education_law
"The college didn't provide promised facilities and resources",education_law
"My business partner cheated me out of profits",business_law
"The supplier breached our contract by not delivering goods",business_law
"I was sued by a competitor for false advertising claims",business_law
"My company was accused of intellectual property theft",business_law
"The investor backed out of our agreement at the last minute",business_law
"I signed a partnership agreement with unfair terms",business_law
"My business was defamed by false online reviews",business_law
"The vendor didn't fulfill the service level agreement",business_law
"I was forced into an unfavorable business merger",business_law
"My trademark was infringed by another company",business_law
"My boss keeps making inappropriate comments about my appearance",labour_law
"I was passed over for promotion due to gender discrimination",labour_law
"The company fired me for taking medical leave",labour_law
"I work in unsafe conditions without proper protective gear",labour_law
"My employer monitors my personal communications without consent",labour_law
"I was forced to sign a non-compete agreement after leaving",labour_law
"The company doesn't provide paid sick leave as promised",labour_law
"I was retaliated against for reporting workplace harassment",labour_law
"My salary is below minimum wage for my role",labour_law
"The workplace doesn't accommodate my religious practices",labour_law
"My apartment building has major plumbing issues that won't be fixed",property_law
