text,severity_score
"My employer has not paid my salary for three months despite multiple reminders",0.7
"I was fired from my job without any valid reason or notice",0.8
"My boss is harassing me at work and creating a hostile environment",0.75
"I work 12 hours a day but only get paid for 8 hours",0.6
"My company refuses to pay overtime despite working extra hours",0.65
"I was denied maternity leave by my employer",0.7
"My workplace doesn't provide proper safety equipment",0.8
"I was discriminated against based on my age at work",0.75
"My employer deducted money from my salary without explanation",0.6
"I was forced to work on holidays without extra pay",0.55
"My landlord won't return my security deposit after I moved out",0.4
"The landlord entered my apartment without permission",0.6
"My neighbor's construction is damaging my property",0.5
"I received an eviction notice without proper cause",0.7
"The rental agreement has unfair clauses that weren't explained",0.45
"My landlord refuses to fix the leaking roof in my apartment",0.55
"The property I bought has boundary disputes with neighbors",0.5
"I was overcharged for maintenance fees in my apartment complex",0.35
"My landlord changed the locks while I was away",0.8
"The apartment I rented has serious electrical problems",0.65
"Someone hacked into my online banking account and stole money",0.9
"I received a phishing email that stole my personal information",0.8
"My social media account was hacked and used to post inappropriate content",0.75
"Online fraud through fake investment schemes",0.85
"I am being cyberstalked through various online platforms",0.8
"My credit card information was stolen from an online store",0.85
"I was scammed through a fake job posting online",0.7
"Someone impersonated me online and damaged my reputation",0.75
"My computer was infected with ransomware demanding payment",0.9
"Online harassment through anonymous messages and posts",0.7
"My husband physically assaulted me during an argument",0.95
"I was robbed at gunpoint while walking home",0.95
"I was robbed at gunpoint while walking home",0.95
"Someone broke into my house and stole valuable items",0.85
"I witnessed a hit and run accident but the driver fled",0.8
"My neighbor threatened me with violence over a property dispute",0.8
"I was falsely accused of shoplifting at a store",0.6
"Domestic violence incident involving physical abuse",0.9
"Someone vandalized my car in the parking lot",0.65
"I was assaulted by a stranger on the street",0.85
"Burglary attempt at my residence",0.8
"The product I bought online was completely different from advertised",0.3
"I purchased a defective electronic device that stopped working after a week",0.4
"The company refuses to refund my money for a faulty product",0.35
"I was charged twice for the same online purchase",0.25
"The warranty on my appliance expired before the product failed",0.45
"I received damaged goods in my online order",0.3
"The store refused to accept returns without receipt",0.4
"I was sold counterfeit products as genuine",0.5
"The service provider didn't deliver what was promised in the contract",0.4
"I was overcharged for services I didn't receive",0.35
"My professor discriminated against me based on my religion",0.7
"The college refused to provide accommodations for my disability",0.75
"I was expelled from university without proper investigation",0.8
"The school is not following the curriculum standards",0.6
"I was denied admission due to bias in the selection process",0.7
"The educational institution charged excessive fees without transparency",0.5
"My teacher gave me unfair grades without justification",0.55
"I was denied access to educational records",0.45
"My scholarship was revoked without cause",0.65
"The college didn't honor the scholarship agreement",0.6
"My business partner cheated me out of profits",0.75
"The supplier breached our contract by not delivering goods",0.65
"I was sued by a competitor for false advertising claims",0.7
"My company was accused of intellectual property theft",0.8
"The investor backed out of our agreement at the last minute",0.6
"I signed a partnership agreement with unfair terms",0.55
"My business was defamed by false online reviews",0.65
"The vendor didn't fulfill the service level agreement",0.6
"I was forced into an unfavorable business merger",0.7
"My trademark was infringed by another company",0.75
"My supervisor creates a toxic work environment",0.7
"I was passed over for promotion due to gender discrimination",0.75
"The company fired me for taking medical leave",0.8
"I work in unsafe conditions without proper protective gear",0.85
"My employer monitors my personal communications without consent",0.65
"I was forced to sign a non-compete agreement after leaving",0.6
"The company doesn't provide paid sick leave as promised",0.55
"I was retaliated against for reporting workplace harassment",0.8
"My salary is below minimum wage for my role",0.7
"The workplace doesn't accommodate my religious practices",0.65
"My apartment building has major plumbing issues that won't be fixed",0.6
"My landlord increased rent without proper notice",0.5
"The condo association charges excessive maintenance fees",0.4
"The property developer didn't complete promised amenities",0.55
"My tenant refuses to pay rent and damages property",0.7
"The landlord discriminated in tenant selection",0.75
"Property tax assessment was incorrect and too high",0.45
"The HOA rules are unfairly enforced",0.5
"I was sold property with undisclosed liens",0.65
"My neighbor built on my property line",0.55
"Someone hacked my smart home devices",0.75
"My email account was compromised and used to send spam",0.7
"I created fake social media profiles using my identity",0.8
"I was targeted by a sophisticated phishing campaign",0.8
"My online banking was hacked through a malware infection",0.9
"Identity theft through stolen personal information",0.85
"I was targeted by a DDoS attack",0.75
"My website was hacked and defaced",0.7
"Online auction fraud",0.65
"I was victim of a data breach",0.8
"I was attacked by my spouse during a domestic dispute",0.9
"I was robbed at an ATM",0.85
"I witnessed a violent crime but fear retaliation",0.8
"Burglary of my business premises",0.8
"Threats of violence from an unknown caller",0.75
"I was falsely accused of a crime I didn't commit",0.7
"Stalking by a former partner",0.8
"Vandalism of personal property",0.6
"Someone forged my signature on legal documents",0.8
"Armed robbery at a convenience store",0.9
"The restaurant served me food that made me ill",0.5
"I bought a car that had undisclosed mechanical problems",0.6
"The service contract had hidden cancellation fees",0.4
"The product I bought was past its expiration date",0.45
"The warranty claim was denied without valid reason",0.5
"I purchased software that doesn't work as advertised",0.4
"The company charged me for services I cancelled",0.35
"I received the wrong item in my online order",0.3
"False advertising led me to purchase an inferior product",0.45
"My university discriminated against me based on nationality",0.75
"The school failed to provide accessible facilities",0.8
"I was suspended without due process",0.7
"Discrimination in student housing assignments",0.65
"My grades were changed without explanation",0.6
"The college didn't honor financial aid",0.65
"I was denied transfer credits unfairly",0.55
"The institution failed to report campus safety incidents",0.75
"My scholarship was revoked unfairly",0.7
"The school charged unauthorized fees",0.5
"My co-founder stole company intellectual property",0.8
"The supplier provided substandard materials",0.65
"I was sued for breach of non-disclosure agreement",0.7
"The joint venture partner breached fiduciary duty",0.75
"Unfair competition from a former employee",0.7
"My business was libeled in news articles",0.7
"The merger agreement had undisclosed liabilities",0.75
"I was forced to buy out my partner's share unfairly",0.65
"Trademark infringement by a competitor",0.75
"Contract dispute over delivery terms",0.6
"My manager spreads rumors about me at work",0.65
"I was denied training opportunities based on race",0.75
"The company violated my privacy rights",0.7
"I work excessive overtime without compensation",0.7
"My employer refused reasonable accommodation for disability",0.8
"I was wrongfully terminated during probation",0.75
"The workplace has discriminatory hiring practices",0.8
"I was forced to work off the clock",0.75
"My performance review was unfairly negative",0.6
"The company doesn't provide adequate breaks",0.55
"The property I inherited has title disputes",0.6
"My landlord refuses to address pest infestation",0.55
"The condo board mismanaged reserve funds",0.5
"I was charged for repairs I didn't authorize",0.4
"The survey showed boundary encroachments",0.5
"My tenant sublet without permission",0.65
"The landlord changed lease terms mid-tenancy",0.55
"I discovered the property was foreclosed previously",0.7
"The HOA fined me unfairly",0.45
