case_description
Tenant vs landlord deposit dispute
Rental agreement violation case
Property tenancy dispute
Online banking fraud
Cyber payment scam
Digital wallet theft
Workplace harassment complaint
Office bullying incident
Professional discrimination
Domestic violence case
Marital abuse incident
Family violence dispute
Consumer product defect
Faulty goods purchase
Defective merchandise claim
Employment salary delay
Wage payment dispute
Labour compensation issue
Educational institution harassment
College discrimination case
Student rights violation
Business contract breach
Commercial agreement dispute
Corporate partnership issue
Salary non-payment dispute
Employer wage violation
Workplace safety negligence
Age discrimination lawsuit
Unpaid overtime claim
Maternity leave denial
Apartment plumbing failure
Unauthorized property entry
Neighbor construction damage
Improper eviction notice
Unfair lease terms
Roof leak repair refusal
Boundary line dispute
Excessive maintenance fees
Lock change without notice
Electrical system hazard
Bank account hacking
Phishing email scam
Social media account compromise
Investment fraud scheme
Online stalking harassment
Credit card data theft
Fake job offer scam
Online identity impersonation
Ransomware infection
Anonymous online harassment
Spousal physical assault
Street robbery incident
Home burglary case
Hit and run witness
Property dispute threat
False shoplifting accusation
Domestic abuse report
Car vandalism incident
Street assault case
Burglary attempt prevention
Online product misrepresentation
Defective electronics purchase
Refund denial dispute
Duplicate billing error
Early warranty expiration
Damaged delivery receipt
Counterfeit goods sale
Service contract breach
Unreceived service charge
Religious discrimination claim
Disability accommodation denial
Unfair university expulsion
Curriculum violation complaint
Admission bias allegation
Excessive fee charges
Unjust grade assignment
Educational record access denial
Scholarship revocation dispute
Business partner fraud
Supplier contract breach
False advertising lawsuit
Intellectual property theft
Last minute investment withdrawal
Unfair partnership terms
Online review defamation
Service level violation
Forced business merger
Trademark infringement case
Workplace sexual harassment
Gender promotion discrimination
Medical leave termination
Unsafe working conditions
Personal communication monitoring
Post-employment non-compete
Sick leave policy violation
Harassment reporting retaliation
Below minimum wage payment
Religious accommodation refusal
Major apartment maintenance
Rent increase without notice
Condo fee overcharge
Uncompleted development amenities
Rent non-payment with damage
Tenant selection discrimination
Incorrect property tax
Unfair HOA enforcement
Undisclosed property liens
Property line encroachment
Smart home device hacking
