case_text,case_type,severity_score,court_level,timestamp,case_type_encoded
Writ petition seeking justice against government,taxation,0.3,supreme_court,2026-03-26T10:01:20.028550,12
Mobile phone not working after 1 month,consumer_rights,0.2,user_input,2026-03-26T10:01:20.028550,3
Neighbor nuisance complaint,civil_dispute,0.3,user_input,2026-03-26T10:01:20.028550,1
Marriage dispute with in-laws,family_law,0.7,user_input,2026-03-26T10:01:20.028550,8
FIR registered for cyber crime at commercial complex,criminal_law,0.9,police_station,2026-03-26T10:01:20.028550,6
Vendor not delivering goods,contract_dispute,0.4,user_input,2026-03-26T10:01:20.028550,4
Family dispute petition for partition,family_law,0.7,district_court,2026-03-26T10:01:20.028550,8
Complaint regarding theft involving family members,criminal_law,1.0,police_station,2026-03-26T10:01:20.028550,6
Product warranty not honored,consumer_rights,0.2,user_input,2026-03-26T10:01:20.028550,3
Burglary in my house,criminal_law,0.9,user_input,2026-03-26T10:01:20.028550,6
Employer fired me without notice,labor_law,0.8,user_input,2026-03-25T10:01:20.028550,9
Child custody battle,family_law,0.6,user_input,2026-03-25T10:01:20.028550,8
General dispute with person,civil_dispute,0.4,user_input,2026-03-25T10:01:20.028550,1
Fraud by online scammer,criminal_law,1.0,user_input,2026-03-25T10:01:20.028550,6
Civil appeal regarding inheritance dispute,criminal_appeal,0.8,supreme_court,2026-03-25T10:01:20.028550,5
Police report of assault under 444 IPC,criminal_law,1.0,police_station,2026-03-25T10:01:20.028550,6
Someone stole my wallet,criminal_law,0.9,user_input,2026-03-25T10:01:20.028550,6
Labor dispute regarding wages,labor_law,0.8,high_court,2026-03-25T10:01:20.028550,9
Criminal case filed for property damage against organization,criminal_law,0.9,police_station,2026-03-25T10:01:20.028550,6
Police report of assault under 383 IPC,criminal_law,1.0,police_station,2026-03-25T10:01:20.028550,6
Petition challenging privacy violation under Article 28 of Constitution,criminal_appeal,0.8,supreme_court,2026-03-24T10:01:20.028550,5
Consumer complaint against defective in electronics,civil_dispute,0.3,district_court,2026-03-24T10:01:20.028550,1
Criminal case filed for property damage against individual,criminal_law,0.9,police_station,2026-03-24T10:01:20.028550,6
Criminal appeal challenging conviction under 368 IPC,taxation,0.3,supreme_court,2026-03-24T10:01:20.028550,12
Property dispute with family,property_dispute,0.6,user_input,2026-03-24T10:01:20.028550,10
Petition challenging privacy violation under Article 18 of Constitution,criminal_appeal,0.8,supreme_court,2026-03-24T10:01:20.028550,5
Civil appeal regarding contract dispute,taxation,0.4,supreme_court,2026-03-24T10:01:20.028550,12
Civil appeal regarding land dispute,criminal_appeal,0.8,supreme_court,2026-03-24T10:01:20.028550,5
Family court petition for adoption,family_law,0.6,high_court,2026-03-24T10:01:20.028550,8
Criminal complaint under 477 IPC,consumer_rights,0.2,district_court,2026-03-23T10:01:20.028550,3
FIR registered for domestic violence at public place,criminal_law,1.0,police_station,2026-03-23T10:01:20.028550,6
Criminal revision petition against sentence,labor_law,0.7,high_court,2026-03-22T10:01:20.028550,9
Police report of theft under 413 IPC,criminal_law,1.0,police_station,2026-03-22T10:01:20.028550,6
Criminal revision petition against acquittal,family_law,0.6,high_court,2026-03-22T10:01:20.028550,8
Bought defective product from store,consumer_rights,0.2,user_input,2026-03-22T10:01:20.028550,3
Contract breach by supplier,contract_dispute,0.5,user_input,2026-03-22T10:01:20.028550,4
Complaint regarding harassment involving neighbors,criminal_law,1.0,police_station,2026-03-21T10:01:20.028550,6
Criminal revision petition against conviction,labor_law,0.7,high_court,2026-03-21T10:01:20.028550,9
Contract breach case seeking specific performance,property_dispute,0.6,high_court,2026-03-21T10:01:20.028550,10
Criminal case filed for physical harm against organization,criminal_law,0.9,police_station,2026-03-21T10:01:20.028550,6
Appeal against High Court judgment in criminal_appeal matter,criminal_appeal,0.7,supreme_court,2026-03-21T10:01:20.028550,5
